Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1693.6505523887358,OUT049
FDW14,1525.2075768411132,OUT017
NCN55,1944.6977492734973,OUT010
FDQ58,2010.3440898268132,OUT017
FDY38,5124.461808088388,OUT027
FDH56,1695.4029401496568,OUT046
FDL48,339.9092972082726,OUT018
FDC48,2793.5843986705445,OUT027
FDN33,1438.6377972029682,OUT045
FDA36,2911.45469243708,OUT017
FDT44,1766.7534973305878,OUT017
FDQ56,1365.3161114719717,OUT045
NCC54,1999.518930624146,OUT019
FDU11,2391.6208552500425,OUT049
DRL59,667.8214345803195,OUT013
FDM24,2600.3191978025766,OUT049
FDI57,3399.5823412686736,OUT045
DRC12,2604.2989234560337,OUT018
NCM42,2988.048306430161,OUT027
FDA46,1609.0696973857407,OUT010
FDA31,2728.070755882438,OUT013
NCJ31,3878.6417464820483,OUT035
FDG52,543.4283103876046,OUT046
NCL19,640.5607598510896,OUT019
FDS10,2876.533661465051,OUT035
FDX22,1796.5141713616872,OUT010
NCF19,699.4259072051304,OUT035
NCE06,1997.1159903848725,OUT046
DRC27,3275.723938263,OUT046
FDE21,2396.8952758730984,OUT035
NCR42,-1355.7335143745286,OUT019
FDX51,2629.1227282572227,OUT018
NCR06,248.07385802995384,OUT018
FDU31,4449.669695106415,OUT027
FDU59,3276.9041831403215,OUT017
FDR03,4879.672088230838,OUT027
FDS49,2752.1678192830523,OUT027
FDD48,446.8478569582253,OUT010
NCF18,3500.784854252492,OUT017
NCD43,2359.121302227268,OUT027
NCD54,2198.217928617626,OUT018
FDY19,464.95800261849445,OUT010
NCY54,3325.7486224913137,OUT017
NCL19,2190.2986282041793,OUT018
FDP23,1811.251599776765,OUT010
FDC26,1660.6353669924115,OUT013
FDR14,-1195.407778475916,OUT010
NCS41,2863.3852604897465,OUT035
FDF41,3986.259593819215,OUT035
FDU34,2295.3927161951447,OUT046
DRH11,1238.7435291570807,OUT046
FDM03,1537.16986829481,OUT013
FDS31,2795.4295617919593,OUT017
FDJ20,1836.3599319137666,OUT017
FDV44,4195.493551237347,OUT027
FDG02,2916.4989386741904,OUT049
FDA09,2754.5664680433906,OUT013
FDT04,473.53163425370053,OUT013
FDL58,2186.8251830692457,OUT019
FDE52,2543.497910005211,OUT045
FDW12,2623.5490269105785,OUT035
FDL51,3134.17016187569,OUT017
NCY42,3815.5195253637307,OUT027
FDR07,1054.7537205248518,OUT017
FDN40,2425.1184847861864,OUT045
FDB35,2876.535161063122,OUT027
FDA22,3284.4618354330337,OUT017
NCL06,3353.723276768736,OUT046
FDI35,3357.216347653201,OUT013
NCW42,2983.6978335415884,OUT045
NCX06,2837.4624543586965,OUT049
FDC37,3588.6728239009067,OUT027
FDZ14,2062.116007010043,OUT018
DRG49,3952.091249149545,OUT049
NCG06,3827.512372926731,OUT045
